major_name,major_code
Chính sách công (Public Policy),8420201
Công Nghệ Sinh Học (Biotechnology),8540101
Công Nghệ Thực Phẩm (Food Technology),8540204
Công nghệ Dệt May (Textile Garment Technology),8520101
Cơ Kỹ Thuật (Engineering Mechanics),8340405
Hệ Thống Thông Tin Quản Lý (Management Information Systems),8480101
Khoa Học Máy Tính (Computer Science),8460107
Khoa Học Tính Toán (Computational Science),8520117
Kỹ Thuật Công Nghiệp (Industrial Engineering),8520103
Kỹ Thuật Cơ Khí (Mechanical Engineering),8520116
Kỹ Thuật Cơ Khí Động Lực (Vehicle Engineering),8520114
Kỹ Thuật Cơ Điện Tử (Mechatronics Engineering),8520604
Kỹ Thuật Dầu Khí (Petroleum Engineering),8520120
Kỹ Thuật Hàng Không (Aerospace Engineering),8520305
Kỹ Thuật Hóa Dầu và Lọc dầu (Refinery and Petrochemical Engineering),8520301
Kỹ Thuật Hóa Học (Chemical Engineering),8520320
Kỹ Thuật Môi Trường (Environmental Engineering),8520115
Kỹ Thuật Nhiệt (Thermal Engineering),8520208
Kỹ Thuật Viễn Thông (Telecommunications Engineering),8520309
Kỹ Thuật Vật Liệu (Materials Engineering),8580201
Kỹ Thuật Xây Dựng (Civil Engineering),8580205
Kỹ Thuật Xây Dựng Công Trình Giao Thông (Transportation Engineering),8520216
Kỹ Thuật Điều Khiển Và Tự Động Hóa (Control Engineering and Automation),8520201
Kỹ Thuật Điện (Electrical Engineering),8520203
Kỹ Thuật Điện Tử (Electronics Engineering),8520501
Kỹ Thuật Địa Chất (Geological Engineering),8510602
Quản Lý Năng Lượng (Power Management),8850101
Quản Lý Tài Nguyên Và Môi Trường (Natural Resources and Environmental Management),8580302
Quản Lý Xây Dựng (Construction Management),8340130
Quản Trị Bệnh Viện (Hospital Administration),8340101
Quản Trị Kinh Doanh (Business Administration),85202a1
Thiết Kế Vi Mạch (Integrated Circuit Design),8460112
Toán Ứng Dụng (Applied Mathematics),8520401
Vật Lý Kỹ Thuật (Engineering Physics),8580211
Kỹ thuật Máy tính (Computer Engineering),7480106
Khoa học máy tính (Computer Science),7480101
