major_code,subject_code
8420201,AS5113
8420201,CH5661
8420201,CH5663
8420201,CH5665
8420201,CH5667
8420201,CH5669
8420201,CH5671
8420201,CH5677
8420201,CH5679
8420201,CH5719
8420201,CH5721
8420201,CH5723
8420201,CH5725
8420201,CH5727
8420201,CH5729
8420201,CH5731
8420201,CH5733
8420201,CH5735
8420201,CH5737
8420201,CH5739
8420201,CH5741
8420201,CH5743
8420201,GK5009
8420201,GK5011
8420201,GK5021
8420201,GK5023
8420201,GK5025
8420201,GK5033
8420201,GK5035
8420201,GK5037
8420201,GK5039
8420201,GK5041
8420201,GK5043
8420201,GK5045
8420201,GK5047
8420201,GK5049
8420201,TH5929
8540101,AS5113
8540101,CH5309
8540101,CH5313
8540101,CH5319
8540101,CH5407
8540101,CH5409
8540101,CH5477
8540101,CH5479
8540101,CH5485
8540101,CH5505
8540101,CH5507
8540101,CH5509
8540101,CH5595
8540101,CH5673
8540101,CH5675
8540101,CH5683
8540101,CH5685
8540101,CH5687
8540101,CH5693
8540101,CH5745
8540101,CH5747
8540101,CH5749
8540101,CH5751
8540101,CH5753
8540101,CH5755
8540101,CH5757
8540101,CH5759
8540101,CH5761
8540101,CH5763
8540101,CH5765
8540101,CH5767
8540101,GK5009
8540101,GK5011
8540101,GK5021
8540101,GK5023
8540101,GK5025
8540101,GK5033
8540101,GK5035
8540101,GK5037
8540101,GK5039
8540101,GK5041
8540101,GK5043
8540101,GK5045
8540101,GK5047
8540101,GK5049
8540101,TH5929
8540204,AS5113
8540204,GK5009
8540204,GK5011
8540204,GK5021
8540204,GK5023
8540204,GK5025
8540204,GK5033
8540204,GK5035
8540204,GK5037
8540204,GK5039
8540204,GK5041
8540204,GK5043
8540204,GK5045
8540204,GK5047
8540204,GK5049
8540204,ME5151
8540204,ME5155
8540204,ME5159
8540204,ME5161
8540204,ME5167
8540204,ME5169
8540204,ME5175
8540204,ME5177
8540204,ME5203
8540204,ME5205
8540204,ME5231
8540204,ME5233
8540204,ME5235
8540204,ME5237
8540204,ME5249
8540204,ME5273
8540204,ME5275
8540204,ME5277
8540204,TH5929
