student_id,class,posttest1_score,posttest2_score
STUDENT_001,IS-1,10.00,10.00
STUDENT_002,IS-1,10.00,10.00
STUDENT_003,IS-1,10.00,10.00
STUDENT_004,IS-1,10.00,8.67
STUDENT_005,IS-1,10.00,10.00
STUDENT_006,IS-1,10.00,10.00
STUDENT_008,IS-1,10.00,10.00
STUDENT_009,IS-1,10.00,10.00
STUDENT_010,IS-1,10.00,10.00
STUDENT_011,IS-1,10.00,10.00
STUDENT_012,IS-1,9.50,10.00
STUDENT_013,IS-1,10.00,10.00
STUDENT_014,IS-1,10.00,10.00
STUDENT_015,IS-1,10.00,9.33
STUDENT_016,IS-1,10.00,10.00
STUDENT_017,IS-1,9.50,10.00
STUDENT_018,IS-1,10.00,10.00
STUDENT_019,IS-1,10.00,10.00
STUDENT_020,IS-1,9.50,10.00
STUDENT_021,IS-1,10.00,10.00
STUDENT_022,IS-1,10.00,10.00
STUDENT_023,IS-1,10.00,10.00
STUDENT_024,IS-1,10.00,10.00
STUDENT_026,IS-1,10.00,10.00
STUDENT_027,IS-1,10.00,10.00
STUDENT_028,IS-2,9.00,8.00
STUDENT_029,IS-2,10.00,8.00
STUDENT_031,IS-2,10.00,9.33
STUDENT_032,IS-2,10.00,8.67
STUDENT_033,IS-2,9.50,8.67
STUDENT_034,IS-2,10.00,9.00
STUDENT_035,IS-2,10.00,9.67
STUDENT_036,IS-2,10.00,8.67
STUDENT_037,IS-2,10.00,9.67
STUDENT_038,IS-2,9.50,8.33
STUDENT_040,IS-2,10.00,9.33
STUDENT_041,IS-2,10.00,8.67
STUDENT_042,IS-2,9.50,8.33
STUDENT_043,IS-2,9.50,9.00
STUDENT_044,IS-2,10.00,8.67
STUDENT_045,IS-2,10.00,9.67
STUDENT_046,IS-2,10.00,8.67
STUDENT_048,IS-2,10.00,9.33
STUDENT_049,IS-2,10.00,9.33
STUDENT_050,IS-2,10.00,8.67
STUDENT_051,IS-2,9.50,8.00
STUDENT_052,IS-2,9.00,7.00
STUDENT_054,IS-2,9.50,8.33
STUDENT_055,IS-2,10.00,9.33
STUDENT_056,IS-2,10.00,8.00
STUDENT_057,IS-2,10.00,8.33
STUDENT_058,IS-2,10.00,8.33
STUDENT_060,IS-2,9.50,9.67
STUDENT_061,IS-2,10.00,9.33
STUDENT_062,IS-2,10.00,8.33
STUDENT_065,IS-3,10.00,9.33
STUDENT_066,IS-3,10.00,9.33
STUDENT_067,IS-3,9.50,9.33
STUDENT_068,IS-3,10.00,9.33
STUDENT_069,IS-3,9.00,10.00
STUDENT_070,IS-3,10.00,9.00
STUDENT_071,IS-3,0.50,0.00
STUDENT_073,IS-3,9.50,9.33
STUDENT_075,IS-3,10.00,9.33
STUDENT_076,IS-3,10.00,9.00
STUDENT_077,IS-3,10.00,9.67
STUDENT_078,IS-3,10.00,9.33
STUDENT_081,IS-3,10.00,9.67
STUDENT_082,IS-3,10.00,9.33
STUDENT_083,IS-3,10.00,9.67
STUDENT_084,IS-3,9.50,9.33
STUDENT_085,IS-3,9.50,9.33
STUDENT_087,IS-3,10.00,9.67
STUDENT_088,IS-3,10.00,10.00
STUDENT_089,IS-3,10.00,10.00
STUDENT_090,IS-3,10.00,6.67
STUDENT_091,IS-3,10.00,10.00
STUDENT_092,IS-3,10.00,10.00
STUDENT_093,IS-3,10.00,9.00
STUDENT_094,IS-3,10.00,9.33
STUDENT_095,IS-3,9.50,9.00
STUDENT_096,IS-3,9.00,8.33
STUDENT_097,IS-3,9.50,8.67
STUDENT_098,IS-3,10.00,8.33
STUDENT_099,IS-3,9.50,8.33
STUDENT_100,IS-3,10.00,10.00
STUDENT_101,IS-3,10.00,9.00
STUDENT_102,IS-3,10.00,10.00
STUDENT_103,IS-3,9.50,8.33
STUDENT_105,IS-3,10.00,10.00
STUDENT_106,IS-3,10.00,9.67
STUDENT_107,IS-3,10.00,9.67
STUDENT_108,IS-3,9.50,8.67
STUDENT_109,IS-3,10.00,10.00
STUDENT_111,IS-3,10.00,9.33
STUDENT_112,IS-3,10.00,10.00
STUDENT_113,IS-3,10.00,9.67
STUDENT_114,IS-3,10.00,10.00
STUDENT_115,IS-3,9.50,9.00
STUDENT_116,IS-3,10.00,9.33
