student_id,submission1_score,submission2_score,submission3_score,submission4_score,final_score,submission1_link,submission2_link,submission3_link,submission4_link,final_link
STUDENT_001,10,0,10,10,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S73ae39f71/196?sig=d7aa213df850580ee54b82bda36a77edca572c88df101753c57ae13536bbf095,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S73ae39f71/375?sig=4dbd97f564465ae550c80771fdcfa47610b93a4e297d94e4bba69e2b21e31628,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S73ae39f71/493?sig=5ef86e7b45c4c12d8dbfe488f9048169bc1593741e391163f79b5246ddf72534,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S73ae39f71/709?sig=5a5496dc3807065762cc17e886f365b24c11c62a9857d8986ffe764057f3c567
STUDENT_002,10,10,10,10,9.75,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc075ee4ad/186?sig=a853c70f041d5b57d5d43e1a5b52722796602b03e462a6d050e3ee9be08b88a7,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc075ee4ad/293?sig=577f7347627bca55b40ec1df14c25c73e6b07ed48be1370be4cb9ce69efab0cb,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc075ee4ad/361?sig=be4c47f9010e479bdfbbee9e93271f9572ba9974c1c8cc9294284c278aaefc36,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc075ee4ad/475?sig=2b14f5b44f56eca13a892ea32c4dc3aa9638d213c02a0c7eef43eb32d5a5af97,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc075ee4ad/624?sig=473e5cbdad4e9b59b5e199283502cab65d9d3dad8f57b3cf0bb2881b4016ee94
STUDENT_003,8,7,7,6,7.75,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saf0ed4283/216?sig=ae11b01e6e6b5013a3ff4226ff767763cddee557951171f8e46fcd7bcb3b65be,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saf0ed4283/334?sig=3060ac019ebb461c556079bef0b1ba123ff26d6b5b4c94803f2755aa285aa91f,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saf0ed4283/462?sig=3721c48e48f00e37befdf6e0eaad1d1d76deae0528912c8db47f0332cfc9e5bc,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saf0ed4283/491?sig=6951889ae5136bcf43104258e8409b09c11faebe444ece4208ec036e71ba2398,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saf0ed4283/617?sig=c72b05e56279f9eef454208e04a95e453e72a53eb333aaae8cb00c0db7889876
STUDENT_004,9,9,10,10,10,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54b9c2cad/113?sig=fdd3a9c65394162284d38eab6bd0afc2f25c940051ce74e4293d198dc38944fc,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54b9c2cad/236?sig=a8786b060e1f3ef04516fff5c69ec959138e6531be59837f592b7ab911a4bbab,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54b9c2cad/452?sig=dc5b7eccd7004e9e0706b51fd62ec23498cd71578f376fff600113293815c1b1,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54b9c2cad/504?sig=ae8de34d13afd7d5d762fdb6999eace89803e65455cedf8b4e09615c711c92fa,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54b9c2cad/705?sig=860dbd0c1879f955dcf7f8bc37d7c01666e0bac080142df6741944e0074fc319
STUDENT_005,10,9.5,10,10,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b30ce6cb/211?sig=ae6f530488c55d5b121eeb18a7362a275f1d187c475001567a4333f828ee2eda,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b30ce6cb/348?sig=c2dfb0fb7e1f91a9eeab18d65fcd81d762f100e9ba06ad00633f33e3fb0b38da,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b30ce6cb/457?sig=d690c3ff49b55bd8e8f41b4db2574a3c5a31199724fd9af99f880e4a1e3269a0,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b30ce6cb/589?sig=f2c3e85053e7d1190734a553ae704fc5c0592986529ac3f466e3e7a2c90ac521,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b30ce6cb/693?sig=224cfaeae99cb9724a773160bf7cf14a68e96fa76f5f1c8f8402d2cc06f71254
STUDENT_006,9,0,0,9,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4139b7b24/205?sig=4ceca9c8df780a6e5bdedb2a232778407f9c4632327bfebce8ac0301f1729e1b,,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4139b7b24/570?sig=4bf4649befb8927d3413f9d259544a7a642c971a5e0dee8530fa53b4a1f0460a,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4139b7b24/692?sig=13bd34e91e3134ff5560530eba24be56abf7dd18ba433bfcaa2f7e90ae0d9daf
STUDENT_008,9,8.5,8,8,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70995ab49/13?sig=abe677ce03318b2e333eeddacbec0507a4c952651e6e9f8c2b5acc67959b4960,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70995ab49/251?sig=810e5e59b21d2fa97e7a4bfdf3a034a1baf6abda0a537ad2e0f8a4426eca95b1,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70995ab49/408?sig=62257a6e0ee3d23e466beab9f4271f500ea08e9fd5467a8e5b8b9ae1a4e7c8f8,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70995ab49/467?sig=5766d2697b8daa1079e3b84852c6ed1945c5997fe65c51963f66798119f0f2a6,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70995ab49/612?sig=3b68ab107559a3fad8676f41a995b10e7d523da9328588063b8f07ee119870c1
STUDENT_009,0,0,10,10,9.5,,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54c90c6ea/379?sig=6a580db0eba88ede380f303e34d12a6517817d60c0f13353b558877463081579,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54c90c6ea/569?sig=58739417bb61da56f91d93b8667a8313b37cfccff69d10d893213da0c296b7fc,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S54c90c6ea/658?sig=ddc7bfa383a6184bd24e8a30ee3d44cd23a009e7a9f16257c77f63fa67ab7d36
STUDENT_010,9,9,10,9,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sbe20c60a6/175?sig=76102a0649908128de2ae675a312164e20b6b7e64b10d9c2f7070233af26856f,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sbe20c60a6/245?sig=478050ceb6ffdcdc2b0df1918555a90a0c76146f05d9cefa6adb2c81b0551c12,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sbe20c60a6/390?sig=068cf9f0be1a489c66f736b2c8944a34cdc42b17af3733db83253282be041656,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sbe20c60a6/531?sig=97089d83adf84b4654afb80d5bb514a3708ce20e902b48d8ca59309f1c063908,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sbe20c60a6/619?sig=ab504004987fbf291a7b2429b44f5ef9447ca192d6243bf0e5d2ab1cfe12f289
STUDENT_011,8.5,8.5,0,8.5,8,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S78df41cf0/207?sig=4c3bc3fcdecf014b58c3374b958ab80e484f70c2ccc46a4f548eb3feb7811b6e,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S78df41cf0/335?sig=f1442c38a7a6da484c02125e29dfa74f42ad76e92f0e36a9f6faf64b3227b9d2,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S78df41cf0/562?sig=3b2d84b866861ee9655d9b1db6dc33c58310809ffebea403bee5432691b61db2,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S78df41cf0/660?sig=f16fc37849a8ce8ab02d9c6eff6a547432bf01892f7548dfb18510a1b4dd7291
STUDENT_012,9,9,9.5,10,9.2,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saad673156/174?sig=e4f3464cef491b5a4f6609f5ebe974a3e3a3fbee53a832547676a254dc474882,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saad673156/331?sig=7d7b5567860531dd6425ef7256028cb259ca73a1bc5e9fb45522e0f6bebaa999,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saad673156/451?sig=b0f87bb644e2ed20a40606c4bbc6f8b9ea83898978c8e6100d61ccbfdfd336df,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saad673156/533?sig=06c92759beefb219668ad64f409b072bcf8fdb36410dbe77f902112ad8f3b7e0,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Saad673156/603?sig=5b282cc13a3a1ce282242289a29498def0081cc8ea4887cad8110d36508f67af
STUDENT_013,10,10,10,10,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sde7f3ed7b/225?sig=3cc9665d942cc23f22bdd18e596db19584d8f5a5b89c10ac37bdf89c2c7b6948,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sde7f3ed7b/345?sig=136c76a77cd45f459eb4b12ec2a9a8ed083e2c6385d28ca6c026b90c95b0f949,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sde7f3ed7b/455?sig=37770a4933b48f844111deacbb7993d1a6cc85d8d2b0ea13af99df92f28ffca2,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sde7f3ed7b/571?sig=c384cae9b8cf4a68969285015cab52e08635c8fc51525abecda4d9e8e73eb8d2,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sde7f3ed7b/701?sig=117cee58435000f3ead437af2b14f8394671023bdd750132da48e1bface44149
STUDENT_014,,,,,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S2d7d7d4a0/191?sig=8037f8bae564bfb67ca703fa7c553efbc6d410fa32d2c61515852a80795bf9f7,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S2d7d7d4a0/258?sig=9493b7da9e453e83f71019cfd22342e9093b8b52394fa080200b649856f45510,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S2d7d7d4a0/405?sig=2309447c3fc9a0160ce80ef65fa6222923aecd79293670fa6eb3500fc16739fe,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S2d7d7d4a0/527?sig=106bc16b72cb702e6420e8d7b974eb511a574969ecd340811ee6c2f4ea15fe99,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S2d7d7d4a0/633?sig=ec67f8493e6d6facc089efe11d5a95fb6641a6eb12b5c7d0f8fffa094bde0d3a
STUDENT_015,10,10,10,10,9.25,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S0c7375965/227?sig=f4da8b45707a732a08a65dfeb349e959e7dd68e1682a8cdef12a2b457e04307e,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S0c7375965/246?sig=bcf57e40c99031500b9a929e4b0939486565910952efd08f311138fe99ac6c70,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S0c7375965/434?sig=f5018a5b027888add3f8c8cb58af7fd72c1235d043ea87f400c213b855856a9e,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S0c7375965/521?sig=f81ce00955172cd803dbff0646bcd1e7eb5021b53385ce7fd9ee7b18d30b26ca,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S0c7375965/636?sig=e7e3eda86bdea3ab4415a51445e0d1f8bb4482c7e61e842f0390c37b627c1ab2
STUDENT_016,8.25,8.25,8.25,8.25,7.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S64e4898f8/194?sig=edcd4ce372fb2fa6d58b6a50002440e0e5831e4d720887b8f41b7626467c77c2,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S64e4898f8/303?sig=78f7aea0c3854eb7116afc65a9960515f1515679b96390aaec2862c28bb247ed,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S64e4898f8/386?sig=3e35175cd0be18e82f55b5cdaa7d34980d06c3164f01d0e7b5d6d1cdb5003ae4,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S64e4898f8/528?sig=1cb1eb4b74e1ad8ae60ca403f22d5d4d093be2254840c509e5c8aa5fb9111e0c,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S64e4898f8/647?sig=9e389e9d376b301fcbade44887c487a23c5866cb48636b1126dacaf76568b8a2
STUDENT_017,9,9,9,9,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S17e0ba00d/228?sig=aa79cc66f0531e97f898bc9473d4e0fcf3cf68647193b44080390405443b773d,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S17e0ba00d/270?sig=c208ad7247dcc91d9a4d8ec6ff1d703ba837f7d9954b1db57ae73d6d34c8793d,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S17e0ba00d/440?sig=c43f3e05405343acc2acd3d6fc6d00d9a7d2527e302f0a64e0f429f0d29dc15b,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S17e0ba00d/551?sig=12fc6927856edec1ae020a566b3898d7f936db628a6c8fe488cd909354e3f431,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S17e0ba00d/607?sig=c90d592d64a7713b791f18d9b76aa1d5017ca93f684e49ce849ecc3defb0ac9a
STUDENT_018,0,,,,,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc7e90a908/264?sig=788bd1a44b141a90164df0191cad68a7453ec82476866fe8adb88cae862dc0d8,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc7e90a908/458?sig=eee8ff6845069719093f894f270a9a188e848f7776bb6f63f055e7c85a8555da,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc7e90a908/581?sig=58e03ec43f1a668da954c94ffff1379e83de8103cec735d99ecacbd831e3a52c,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sc7e90a908/694?sig=8d8cb737ee1e447c49f68b5452bfff8b54858fd97196ceff2f665956e33ff9a2
